tab:1secMeasurement
garbage,trash,count,time,shit,crap,piss
2,9049,0,1000000,65,128,0
2,9064,4,1000000,65,128,0
2,9079,3,1000000,65,128,0
2,9095,1,1000000,65,128,0
2,9110,1,1000000,65,128,0
2,9125,0,1000000,65,128,0
2,9141,1,1000000,65,128,0
2,9156,0,1000000,65,128,0
2,9171,2,1000000,65,128,0
2,9186,4,1000000,65,128,0
2,9202,1,1000000,65,128,0
2,9217,2,1000000,65,128,0
2,9232,1,1000000,65,128,0
2,9247,0,1000000,65,128,0
2,9263,0,1000000,65,128,0
2,9278,0,1000000,65,128,0
2,9293,2,1000000,65,128,0
2,9308,4,1000000,65,128,0
2,9324,0,1000000,65,128,0
2,9339,0,1000000,65,128,0
2,9354,1,1000000,65,128,0
2,9369,1,1000000,65,128,0
2,9385,1,1000000,65,128,0
2,9400,1,1000000,65,128,0
2,9415,1,1000000,65,128,0
2,9430,3,1000000,65,128,0
2,9446,4,1000000,65,128,0
2,9461,1,1000000,65,128,0
2,9476,1,1000000,65,128,0
2,9491,0,1000000,65,128,0
2,9507,2,1000000,65,128,0
2,9522,1,1000000,65,128,0
2,9537,1,1000000,65,128,0
2,9553,0,1000000,65,128,0
2,9568,1,1000000,65,128,0
2,9583,1,1000000,65,128,0
2,9598,0,1000000,65,128,0
2,9614,1,1000000,65,128,0
2,9629,2,1000000,65,128,0
2,9644,1,1000000,65,128,0
2,9659,0,1000000,65,128,0
2,9675,0,1000000,65,128,0
2,9690,0,1000000,65,128,0
2,9705,0,1000000,65,128,0
2,9720,2,1000000,65,128,0
2,9736,3,1000000,65,128,0
2,9751,0,1000000,65,128,0
2,9766,0,1000000,65,128,0
2,9781,2,1000000,65,128,0
2,9797,2,1000000,65,128,0
2,9812,1,1000000,65,128,0
2,9827,1,1000000,65,128,0
2,9842,2,1000000,65,128,0
2,9858,0,1000000,65,128,0
2,9873,0,1000000,65,128,0
2,9888,0,1000000,65,128,0
2,9903,0,1000000,65,128,0
2,9919,2,1000000,65,128,0
2,9934,1,1000000,65,128,0
2,9949,2,1000000,65,128,0
2,9964,0,1000000,65,128,0
2,9980,1,1000000,65,128,0
2,9995,1,1000000,65,128,0
2,10010,1,1000000,65,128,0
2,10025,1,1000000,65,128,0
2,10041,1,1000000,65,128,0
2,10056,3,1000000,65,128,0
2,10071,2,1000000,65,128,0
2,10087,0,1000000,65,128,0
2,10102,4,1000000,65,128,0
2,10117,0,1000000,65,128,0
2,10132,2,1000000,65,128,0
2,10148,1,1000000,65,128,0
2,10163,0,1000000,65,128,0
2,10178,0,1000000,65,128,0
2,10193,2,1000000,65,128,0
2,10209,0,1000000,65,128,0
2,10224,0,1000000,65,128,0
2,10239,1,1000000,65,128,0
2,10254,2,1000000,65,128,0
2,10270,1,1000000,65,128,0
2,10285,2,1000000,65,128,0
2,10300,4,1000000,65,128,0
2,10315,3,1000000,65,128,0
2,10331,1,1000000,65,128,0
2,10346,2,1000000,65,128,0
2,10361,1,1000000,65,128,0
2,10376,2,1000000,65,128,0
2,10392,0,1000000,65,128,0
2,10407,2,1000000,65,128,0
2,10422,1,1000000,65,128,0
2,10437,1,1000000,65,128,0
2,10453,2,1000000,65,128,0
2,10468,0,1000000,65,128,0
2,10483,3,1000000,65,128,0
2,10499,0,1000000,65,128,0
2,10514,0,1000000,65,128,0
2,10529,0,1000000,65,128,0
2,10544,1,1000000,65,128,0
2,10560,2,1000000,65,128,0
2,10575,1,1000000,65,128,0
2,10590,0,1000000,65,128,0
2,10605,3,1000000,65,128,0
2,10621,0,1000000,65,128,0
2,10636,0,1000000,65,128,0
2,10651,0,1000000,65,128,0
2,10666,0,1000000,65,128,0
2,10682,1,1000000,65,128,0
2,10697,1,1000000,65,128,0
2,10712,0,1000000,65,128,0
2,10727,1,1000000,65,128,0
2,10743,0,1000000,65,128,0
2,10758,2,1000000,65,128,0
2,10773,0,1000000,65,128,0
2,10788,0,1000000,65,128,0
2,10804,1,1000000,65,128,0
2,10819,0,1000000,65,128,0
2,10834,0,1000000,65,128,0
2,10849,1,1000000,65,128,0
2,10865,1,1000000,65,128,0
2,10880,0,1000000,65,128,0
2,10895,2,1000000,65,128,0
2,10911,1,1000000,65,128,0
2,10926,1,1000000,65,128,0
2,10941,1,1000000,65,128,0
2,10956,2,1000000,65,128,0
2,10972,1,1000000,65,128,0
2,10987,2,1000000,65,128,0
2,11002,1,1000000,65,128,0
2,11017,1,1000000,65,128,0
2,11033,0,1000000,65,128,0
2,11048,1,1000000,65,128,0
2,11063,2,1000000,65,128,0
2,11078,0,1000000,65,128,0
